AnimalId,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A718832,Nia,15/01/2016 17:31,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,25/03/2015 18:50,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,21/11/2015 13:01,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
A708666,Jax,30/07/2015 14:30,Return_to_owner,,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A718535,,01/01/2016 13:57,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707341,Murphy,15/07/2015 15:25,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
A682532,,03/07/2014 17:01,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A666825,Jesse,08/11/2013 13:24,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
A699723,Delgado,11/04/2015 16:01,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A668626,,06/12/2013 14:55,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
A657085,Pony Boy,24/10/2013 11:22,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
A682413,,02/07/2014 13:37,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A702655,Mica,11/08/2015 00:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A707503,,14/07/2015 12:16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A697199,Pilar,04/04/2015 17:26,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
A705598,,23/06/2015 13:25,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668388,Lucy,09/12/2013 15:04,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A671181,,21/01/2014 15:15,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
A676766,Ali,28/05/2014 15:52,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A686716,Chester,27/08/2014 07:50,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor
A684475,Daisy,05/08/2014 11:15,Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
A701804,,05/05/2015 11:46,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A697852,Edith,09/03/2015 17:57,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
A666092,,30/10/2013 15:37,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
A684050,,28/07/2014 09:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A710107,Caty,19/10/2015 18:58,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A682347,,26/06/2014 17:16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
A701627,Gabe,14/05/2015 12:07,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
A690902,Beth,18/11/2014 16:05,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A712979,,04/10/2015 15:02,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
A707687,Bashful,16/08/2015 13:52,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A683443,,18/07/2014 16:23,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
A597644,Lola,16/09/2014 14:05,Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
A682784,Sugar,07/07/2014 12:38,Adoption,,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
A709863,Orangejello,19/08/2015 13:32,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A678506,Prec Punkin',09/05/2014 18:07,Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
A713029,Wilma,06/10/2015 15:07,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A712236,Bella,23/09/2015 11:45,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
A683961,,17/07/2014 17:31,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A714740,Chiquita,27/10/2015 18:32,Return_to_owner,,Dog,Spayed Female,6 years,Maltese Mix,White
A691847,Hero,08/12/2014 15:53,Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White
A711392,Molly,08/09/2015 15:31,Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff
A705258,,16/06/2015 09:00,Transfer,SCRP,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
A678172,Bella,10/05/2014 18:18,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
A676736,Chili,30/04/2014 17:55,Adoption,,Dog,Neutered Male,2 months,Vizsla Mix,Brown
A701575,Hastings,29/01/2016 14:53,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A674913,,25/03/2014 18:15,Adoption,,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
A706446,Tootsie,18/08/2015 11:32,Return_to_owner,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A669540,Snookie,28/12/2013 16:17,Return_to_owner,,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
A709371,Abby,19/08/2015 14:28,Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A681410,Nym,22/06/2014 17:22,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
A675021,,21/03/2014 17:09,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A704179,Zeus,07/06/2015 16:07,Adoption,,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
A717839,,20/12/2015 19:38,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
A700740,Charlie,17/12/2015 12:10,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
A712376,,22/09/2015 12:10,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
A703952,Taco,30/05/2015 18:56,Transfer,Partner,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
A713690,,12/10/2015 09:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
A691838,Avaddon,09/02/2015 17:17,Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
A687789,,14/09/2014 18:51,Adoption,,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
A704754,Arthur,18/07/2015 15:37,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A707531,,14/07/2015 15:04,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A677594,,26/04/2014 18:00,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
A667155,,18/11/2013 15:56,Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
A717147,Freeway,15/12/2015 14:16,Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
A687012,Chloe,07/02/2016 14:54,Adoption,,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
A676200,Georgia,10/04/2014 11:49,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
A676680,Hero,06/02/2015 18:56,Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
A688443,Thelma,29/12/2014 15:11,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A715261,Darcy,15/11/2015 14:06,Adoption,,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
A717008,Taz,06/12/2015 15:12,Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
A683416,,14/07/2014 19:28,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A690658,,24/10/2014 09:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
A695155,,14/01/2015 16:18,Adoption,,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
A679721,Poppy,29/05/2014 17:43,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
A719113,Dexter,28/01/2016 12:05,Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
A665298,,16/10/2013 11:50,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
A708351,,26/07/2015 14:40,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A670681,Matty,30/01/2014 14:41,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A699990,Chubbs,08/04/2015 18:06,Return_to_owner,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
A707767,Lilly,19/07/2015 18:27,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A668362,Minnie,20/12/2013 12:02,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A674577,Santiago,23/03/2014 18:43,Adoption,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
A674802,Franklin,29/03/2014 11:26,Return_to_owner,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
A672410,Myles,11/02/2014 18:16,Return_to_owner,,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
A657753,Wiz,06/12/2013 16:53,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,Abby,20/10/2013 16:37,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
A678229,,06/05/2014 15:59,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A698694,Boss,06/07/2015 15:48,Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
A695971,,26/01/2015 16:23,Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
A674233,Missy,22/03/2014 15:38,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A713392,Basil,05/11/2015 00:00,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
A713968,Katydid,24/10/2015 18:29,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
A701428,Kiki,03/05/2015 16:59,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
A676146,Desmo,14/04/2014 17:00,Return_to_owner,,Dog,Neutered Male,5 years,Dachshund Mix,Black
A679259,Pablo,26/05/2014 11:22,Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
A688223,,21/09/2014 14:15,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A691968,,14/11/2014 11:57,Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
A688871,Pandora,03/10/2014 18:43,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A674530,Jackson,11/09/2014 17:03,Adoption,,Dog,Neutered Male,5 years,Pit Bull,Black
A718604,Watson,31/01/2016 17:22,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
A686520,,24/08/2014 09:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A699094,Levon,22/03/2015 18:40,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A394547,Snickerdoodl,25/01/2015 11:15,Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
A662685,Lola,22/10/2015 17:18,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
A713977,Jumbly,26/10/2015 18:39,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707781,Pearl,15/01/2016 14:03,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A694699,Pebbles,09/01/2015 15:28,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A696350,Minnie,15/12/2015 17:30,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
A679102,Merlin,10/06/2014 16:41,Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A698341,Parsley,16/05/2015 15:19,Return_to_owner,,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
A681481,,18/06/2014 09:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
A714177,,20/10/2015 09:00,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
A689601,Abby,23/11/2014 18:55,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,,05/08/2014 13:20,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A672453,,16/02/2014 19:38,Adoption,Offsite,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
A719480,Ricky,09/02/2016 16:31,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
A702880,Tom,28/06/2015 15:33,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A714494,Amarillo,01/11/2015 19:11,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
A711853,Nala,07/11/2015 19:14,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A688720,,26/09/2014 18:09,Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Tan
A689690,Winnie,22/10/2014 14:37,Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
A679915,Luna,01/06/2014 17:48,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A687991,,12/09/2014 18:38,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
A707896,Tokyo,19/02/2016 14:58,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A702014,Diamond,14/11/2015 13:30,Adoption,,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
A673626,,03/03/2014 16:58,Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
A652097,Minnie,10/02/2014 12:34,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
A685180,Neville,27/09/2014 12:25,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
A707442,Conrad,15/08/2015 11:32,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A682599,Shiva,03/07/2014 18:45,Adoption,,Cat,Spayed Female,4 months,Domestic Longhair,Calico
A685452,,11/08/2014 15:17,Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
A688067,,15/09/2014 09:00,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
A714069,Jupiter,16/12/2015 11:28,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
A705924,Nero,29/07/2015 15:41,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
A717167,Oscar,23/01/2016 16:05,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
A711639,,10/09/2015 11:35,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
A716760,Dasher,06/12/2015 17:08,Adoption,,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
A709048,Libby,08/08/2015 17:58,Adoption,,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
A719048,Gracie,13/01/2016 11:43,Return_to_owner,,Dog,Spayed Female,8 years,Maltese,White
A707437,,19/07/2015 17:26,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A706387,Sugar,06/07/2015 18:05,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
A720668,,15/02/2016 18:30,Return_to_owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
A679341,Jethro,31/05/2014 13:58,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A690519,,23/10/2014 09:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
A708769,Keyla,01/08/2015 11:54,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
A681462,Samson,10/08/2014 16:25,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
A666444,August,04/11/2013 15:50,Transfer,Partner,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
A701153,,25/06/2015 09:31,Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
A710071,Herb,01/09/2015 00:00,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A714602,Stripey,29/10/2015 18:44,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A700707,Sallie,20/04/2015 14:41,Adoption,,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
A702563,Klo Dog,25/05/2015 11:26,Return_to_owner,,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
A679441,,21/05/2014 13:47,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White
A715729,Milo,09/11/2015 13:24,Return_to_owner,,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
A716575,Scarlet,22/12/2015 00:00,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
A714462,Pebbles,14/11/2015 13:26,Return_to_owner,,Dog,Spayed Female,1 year,Pointer Mix,White/Black
A717429,Cairo,09/12/2015 17:05,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A687336,,03/09/2014 18:51,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
A713364,Calypso,13/11/2015 11:53,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A701999,Luna,12/05/2015 17:39,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
A664304,,03/10/2013 12:27,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby
A698066,Diva,07/03/2015 12:50,Transfer,Partner,Dog,Spayed Female,4 years,German Shepherd Mix,White
A680585,Olivia,16/07/2014 17:48,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A699715,Ashley,13/05/2015 11:51,Transfer,Partner,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
A702246,,15/05/2015 17:47,Adoption,,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
A711918,Jaqueline,19/09/2015 14:33,Adoption,,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
A676430,Tabitha,23/11/2014 12:43,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
A677577,Roxie,01/05/2014 16:12,Adoption,,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
A683666,,01/09/2015 00:00,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby
A713754,Harper,27/10/2015 16:44,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
A703631,Hanley,03/07/2015 18:50,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A676209,Boomer,24/07/2014 15:02,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
A667508,Brownie,19/11/2013 18:30,Return_to_owner,,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
A671105,,21/01/2014 15:20,Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Black
A676056,Swisha,10/04/2014 10:13,Return_to_owner,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
A667963,,30/11/2013 18:48,Adoption,,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
A702207,,10/05/2015 17:16,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
A672065,Dutchess,08/04/2014 12:50,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
A688852,Buddy,18/10/2014 18:48,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
A705885,Meowser,27/06/2015 18:24,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A670949,Cassie,01/02/2014 11:13,Return_to_owner,,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
A665666,Teddy,27/12/2013 15:49,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A714575,Isis,31/10/2015 15:18,Transfer,Partner,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
A690480,,22/10/2014 17:46,Transfer,Partner,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
A691636,Dali,13/11/2014 16:07,Adoption,,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
A678482,,14/05/2014 19:15,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
A687785,Bella,30/12/2014 09:38,Adoption,Foster,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
A716839,Dino,27/11/2015 14:06,Return_to_owner,,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
A718547,,11/01/2016 14:23,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
A687989,,12/09/2014 18:38,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A694408,Emma,28/05/2015 13:14,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
A698940,,21/03/2015 09:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A666074,Jackson,30/10/2013 15:14,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A675549,Marco,08/04/2014 15:29,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
A682131,,24/06/2014 19:15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A674737,Byron,27/05/2014 08:21,Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A719876,Oreo,02/02/2016 15:58,Transfer,Partner,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
A676626,Pia,30/05/2014 16:54,Adoption,Foster,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
A666478,Bleu,04/11/2013 17:51,Adoption,,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
A683507,,15/07/2014 17:26,Adoption,,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
A487470,Midnight,20/01/2014 18:40,Euthanasia,Aggressive,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black
A665661,Julia,07/09/2015 15:05,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black
